NO,TANGGAL REGISTRASI,KODE KLINIK,STATUS,NAMA KLINIK,ALAMAT,KELURAHAN,KECAMATAN,PUSKESMAS,NOMOR IZIN OPERASIONAL KLINIK,TANGGAL IJIN TERBIT,TANGGAL IJIN BERAKHIR,NAMA PENANGGUNGJAWAB,JENIS KLINIK (KECANTIKAN/NON KECANTIKAN),JENIS PELAYANAN,JENIS KLINIK,KAB/KOTA,PROVINSI,"KHUSUS KLINIK YANG DIMILIKI KEMENTERIAN/LEMBAGA, 
ISIKAN DI KOLOM INI DENGAN NAMA KEMENTERIAN/LEMBAGANYA",KERJASAMA BPJS,SURVEI AKREDITASI ,KODE FASYANKES,LPA,STATUS AKREDITASI SAAT INI,NO. SERTIFIKAT AKREDITASI,MASA BERLAKU AKREDITASI,RENCANA SURVEI AKREDITASI (TAHUN),RENCANA SURVEI AKREDITASI (BULAN),SUMBER PENDANAAN,LOGIN KE APLIKASI DFO,LOGIN KE APLIKASI MUTUFASYANKES,LOGIN KE APLIKASI ASPAK,LOGIN KE APLIKASI SISDMK,KETERANGAN,,,,,,,,,,,,,
40,13-01-2021,1237299,Aktif,KLINIK PRATAMA GOMBEL,JL. TAMAN TEUKU UMAR NO 32 RT 02 RW 04 SEMARANG,Tinjomoyo,Banyumanik,Ngesrep,445.5/57/DPM-PTSP/IPMDS.57/XI/2020,25/11/2020,25/11/2025,dr.Elhamangto zuhdan,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300040,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/16318/2023,17 November 2023 s.d 17 November 2028,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
41,13-01-2021,1233717,Aktif,KLINIK RUBY MEDIKA,"JL. POTROSARI LAP. NO. 1, SRONDOL KULON BANYUMANIK SEMARANG",Srondol Kulon,Banyumanik,Srondol,445.5/18/DPM-PTSP/IPMDS.18/V/2021,"Friday, November 5, 2021","Thursday, November 5, 2026",dr. Siti Safitri Dyah Fatma,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300041,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/10164/2023,05 September 2023 s.d 05 September 2028,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
42,13-01-2021,1233050,Aktif,KLINIK SATMOKO,"JL. KELUD RAYA NO.4, PETOMPON",Petompon,Gajahmungkur,Pegandan,8.12021E+16,"Sunday, October 2, 2022","Saturday, October 2, 2027","dr. Yauminnisa Hapsari, M.Kes",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300042,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/9452/2023,14 Agustus 2023 s.d 14 Agustus 2028,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
43,13-01-2021,1236404,Aktif,KLINIK PRATAMA LINA MEDIKA,JL. JEND URIP SUMOHARJO KM.13 NO.30 WONOSARI,Wonosari,Ngaliyan,Ngaliyan,445.5/37/DPM-PTSP/IPMDS.37/VIII/2020,"Sunday, November 8, 2020","Saturday, November 8, 2025",Dr. Hendrixus Eko Surani Putro,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300043,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/17647/2023,06 Desember 2023 s.d 06 Desember 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
44,13-01-2021,1237569,Aktif,KLINIK PRATAMA PURI SARAS,JL. SOMPOK 48,Lamper lor,Semarang Selatan,Lamper Tengah,9.12061E+16,"Thursday, May 5, 2022","Wednesday, May 5, 2027",dr. Ivana Yulia Puspowardojo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300044,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",UTAMA,YM.02.01/D/18939/2023, 13 Desember 2023 s.d 13 Desember 2028,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
45,13-01-2021,1237387,Aktif,KLINIK PRATAMA SRIKANDI,JL. HANOMAN DALAM NO. 03 KRAPYAK,Krapyak,Semarang Barat,Manyaran,1.1122E+15,20/02/2023,20/02/2028,dr.Tuty Suryani,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300045,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/11881/2023,07 Oktober 2023 s.d 07 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
46,13-01-2021,1234162,Aktif,KLINIK HARAPAN SEJAHTERA,JALAN ARUMANIS TIMUR NO 7. TAMBAKAJI NGALIYAN SEMARANG,Tambakaji,Ngaliyan,Tambakaji,445.5/22/DPM-PTSP/IPMDS.22/V/2019,22/05/2019,22/05/2024,dr.Desy Raselina,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300046,Aski Klinik Indonesia (ASKIN),UTAMA,Klinik Harapan Sejahtera,30 Desember 2023 s.d 30 Desember 2028 ,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
47,13-01-2021,1237529,Aktif,KLINIK PRATAMA SELARAS,JL. SOMPOK BARU 94 SEMARANG,Lamper kidul,Semarang Selatan,Lamper Tengah,9.12022E+16,"Saturday, September 3, 2022","Friday, September 3, 2027",dr.Dimas Arif,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300047,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/16284/2023,28 November 2023 s.d 28 November 2028 ,2023,NOVEMBER,Mandiri,,,,,,,,,,,,,,,,,,
48,13-01-2021,1232765,Aktif,KLINIK MITRA HIDUP CERIA,JALAN GEMAH BARAT NO.70 SEMARANG,Gemah,Pedurungan,Tlogosari Kulon,1.01121E+16,17/06/2022,17/06/2027,"dr. Erlina Rumanti, M.Kes",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300048,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/14127/2023, 28 Oktober 2023 s.d 28 Oktober 2028 ,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
49,13-01-2021,1234063,Aktif,KLINIK PRATAMA DERLA,"JL MH.THAMRIN 74, KEMBANG SARI, SEMARANG TENGAH, KOTA SEMARANG, JAWA TENGAH, 50133",Miroto,Semarang Tengah,Miroto,445.5/20/DPM-PTSP/IPMDS.20/V/2021,24/05/2021,24/05/2026,dr.Ersje Retnowati Tadihoedojo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300049,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/12144/2023,14 Oktober 2023 s.d 14 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
50,13-01-2021,1237425,Aktif,KLINIK HARAPAN RAHARJA,"JALAN GEDUNG BATU UTARA I/30 RT 02 RW 06, KELURAHAN NGEMPLAK SIMONGAN, KECAMATAN SEMARANG BARAT, KOTA SEMARANG, JAWA TENGAH",Ngemplak Simongan,Semarang Barat,Ngemplak Simongan,9.1201E+16,"Saturday, September 11, 2021","Friday, September 11, 2026",dr.Mita Febriana,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300050,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/12107/2023,30 September 2023 s.d 30 September 2028,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
51,13-01-2021,1237502,Aktif,KLINIK BRIMEDIKA,"JL. KEDUNGMUNDU RAYA NO. 126, SEMARANG",Sambiroto ,Tembalang,Kedungmundu,445.5/51/DPM-PTSP/IPMDS.51/XI/2019,25/11/2019,25/11/2024,dr.RR Susanti Peni Lestari,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300051,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/11057/2023, 27 September 2023 s.d 27 September 2028,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
52,13-01-2021,1232315,Aktif,SAKA SASMITRA,RUKO SAKA SQUARE A12 JL. MAJAPAHIT 71-73 PANDEAN LAMPER,Pandean Lamper ,Gayamsari,Gayamsari,445.5/5/DPM-PTSP/IPMDS.5/I/2020,29/01/2020,29/01/2025,"dr. Rini Muliawati, MM",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300052,Aski Klinik Indonesia (ASKIN),PARIPURNA,YM.02.01/D/2305/2024, 30 November 2023 s.d 30 November 2028 ,2023,NOVEMBER,,,,,,,,,,,,,,,,,,,
53,13-01-2021,1232191,Aktif,KLINIK PRATAMA LARASSYIFA,"JL. TAMAN BELIMBING I BLOK B7 NO 9-10,  RT 03/ RW XII, JATISARI, MIJEN, KOTA SEMARANG",Jatisari,Mijen,Mijen,9.12002E+16,13/04/2023,13/04/2028,"dr. Tri Rini Pramuningsih, MKes",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300053,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/9838/2023, 24 Agustus 2023 s.d 24 Agustus 2028,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
54,13-01-2021,1237405,Aktif,KLINIK PRATAMA PADEPOKAN GANESA,"PADEPOKAN GANESA RAYA II BLOK A NO. 9-10, PANDEANLAMPER",Pandean Lamper ,Gayamsari,Gayamsari,445.5/8/DPM-PTSP/IPMDS.8/II/2021,25/02/2021,25/02/2026,dr. Dita Putri,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300054,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/2275/2024,27 Desember 2023 s.d 27 Desember 2028,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
55,13-01-2021,1237453,Aktif,KLINIK PRATAMA PKU MUHAMMADIYAH,"JL. RAYA LEMAH MENDAK RT 01 RW 06, MIJEN",Mijen,Mijen,Mijen,9.0222E+15,"Wednesday, May 4, 2022","Tuesday, May 4, 2027",dr.Yuana Astaringga,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300055,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/17764/2023, 28 November 2023 s.d 28 November 2028 ,2023,NOVEMBER,Mandiri,,,,,,,,,,,,,,,,,,
56,13-01-2021,1232313,Aktif,KLINIK PRATAMA AMELIA MEDIKA,JL. EMERALD UTAMA BLOK A 1,Meteseh,Tembalang,Rowosari,1.265E+16,28/10/2021,28/10/2027,dr.Nuzulia Nuraini,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300056,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",UTAMA,YM.02.01/D/2978/2024,30 Desember 2023 s.d 30 Desember 2028,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
57,13-01-2021,1231473,Aktif,KLINIK PRATAMA CITRA MEDIKA,JL RATU RATIH II NO 28 TLOGOSARI SEMARANG,Tlogosari Kulon,Pedurungan,Tlogosari Kulon,445.5/28/DPM-PTSP/IPMDS.28/VI/2020,16/06/2020,16/06/2025,dr. Indiyah,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300057,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),UTAMA,YM.02.01/D/9487/2023, 21 Juli 2023 s.d 21 Juli 2028 ,2023,JULI,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
58,13-01-2021,1237314,Aktif,KLINIK PRATAMA PRATAMA MEDIKA,"JL.SAMBIROTO RAYA NO 53 DESA/KELURAHAN SAMBIROTO, KECAMATAN TEMBALANG KOTA SEMARANG, PROVINSI JAWA TENGAH",Sambiroto,Tembalang,Kedungmundu,2.20106E+15,30/06/2022,30/06/2027,dr. Siti Saudia ningrum,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300058,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),UTAMA,YM.02.01/D/16341/2023,25 Oktober 2023 s.d 25 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
59,13-01-2021,1233052,Aktif,KLINIK PRATAMA POLRESTABES SEMARANG,JL. KALIGARANG NO. 1 RT 004 RW 007,Barusari,Semarang Selatan,Pandanaran,445.5/2/DPM-PTSP/IPMDS.2/VII/2022,27/07/2022,27/07/2027,dr. Juwindaryanti,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,POLRI,Ya,YA,33740300059,Lembaga Penyelenggara Akreditasi Pelayanan Kesehatan Paripurna (LPAPKP),PARIPURNA,YM.02.01/D/11845/2023,12 Oktober 2023 s.d 12 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
60,13-01-2021,1232312,Aktif,KLINIK SURYA MEDIKA NGALIYAN,JL. PROF. DR. HAMKA NO 11B PURWOYOSO NGALIYAN SEMARANG,Purwoyoso,Ngaliyan,Purwoyoso,9.1203E+16,"Saturday, October 8, 2022","Friday, October 8, 2027",drg. Rhesa Aditiana Wardani,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300060,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/20150/2023,31 Oktober 2023 s.d 31 Oktober 2028 ,2023,OKTOBER,,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
61,14-01-2021,1231874,Aktif,KLINIK PRATAMA DYAH MEDIKA 1,JL. WOLTERMONGINSIDI NO 100 GENUKSARI GENUK SEMARANG,Genuksari,Genuk,Genuk,8.0722E+15,16/10/2023,16/10/2028,dr.Dyah Rahmani Sofiawati,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300061,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA, YM.02.01/D/11889/2023,13 Oktober 2023 s.d 13 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
62,14-01-2021,1231860,Aktif,KLINIK PRIMA MEDIKA,JL. PEKUNDEN TIMUR IV NO. 18,Pekunden,Semarang Tengah,Miroto,445.5/39/DPM-PTSP/IPMDS.39/IX/2020,"Monday, March 9, 2020","Sunday, March 9, 2025","dr.Yoseph Candra,MKes",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300062,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/217/2023,11 November 2023 s.d 11 November 2028 ,2023,OKTOBER,,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
63,15-01-2021,1232109,Aktif,KLINIK ANNISA,"JL. BERINGIN REJO A1 NO. 1, PERUM BERINGIN INDAH, NGALIYAN, SEMARANG",Bringin,Ngaliyan,Ngaliyan,8.12021E+16,27/09/2023,27/09/2028,"dr. Arifin Adil,MKes",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300063,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/15157/2023,15 November 2023 s.d 15 November 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
64,15-01-2021,1231876,Aktif,KLINIK PRATAMA BKD PROVINSI JAWA TENGAH,"JALAN STADION SELATAN NO. 1,  KEL. KARANGKIDUL, KEC. SEMARANG TENGAH, KOTA SEMARANG, JAWA TENGAH",Karangkidul,Semarang Tengah,Miroto,445.5/15/DPM-PTSP/IPMDS.15/IV/2021,14/04/2021,14/04/2026,dr.Yuli Astuti,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,PEMERINTAH PROVINSI JAWA TENGAH,Ya,YA,33740300064,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/2899/2024,30 Desember 2023 s.d 30 Desember 2028,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
65,15-01-2021,1237337,Aktif,KLINIK PRATAMA MUTIARA BUNDA,JL. PROF. HAMKA NO. 100A KEL. TAMBAKAJI,Ngaliyan,Ngaliyan,Ngaliyan,445.5/21/DPM-PTSP/IPMDS.21/V/2019,16/05/2019,16/05/2024,dr. Prasasti Sri Utami,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300065,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/9497/2023,10 Agustus 2023 s.d 10 Agustus 2028 ,2023,AGUSTUS,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
66,15-01-2021,1234923,Aktif,KLINIK SPES. KULIT ESTETIKA DR. AFFANDI SEMARANG,JL. KYAI SALEH NO. 9 SEMARANG,Randusari,Semarang Selatan,Pandanaran,445.5/12/DPM-PTSP/IKSS.12/XI/2019,"Saturday, May 11, 2019","Saturday, May 11, 2024","dr. Yetti Nahayati Nuraini,SpKK",Kecantikan,Non Rawat Inap,Utama,Kota Semarang,JAWA TENGAH,,Tidak,YA,33740300066,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/2231/2024,22 Desember 2023 s.d 22 Desember 2028,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
67,15-01-2021,1232116,Aktif,KLINIK PRATAMA RAWAT INAP ST. ELISABETH,"JL. CEMARA RAYA NO. 12, RT/RW 001/003, KELURAHAN PADANGSARI, KECAMATAN BANYUMANIK.",Padangsari,Banyumanik,Padangsari,9.12E+16,"Sunday, March 12, 2023","Sunday, March 12, 2028",dr. Henry Adrian,Non Kecantikan,Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,YA,33740300067,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA, YM.02.01/D/19944/2023,15 Desember 2023 s.d 15 Desember 2028 ,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
68,15-01-2021,1232105,Aktif,KLINIK PRATAMA PMI KOTA SEMARANG,JL MGR SUGIYOPRANOTO NO 35,Pendrikan Kidul,Semarang Tengah,Poncol,2.60122E+16,25/07/2023,25/07/2028,"DR.dr.Awal Prasetyo,M.Kes.,SpTHT-KL,MM(RS",Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,PMI Kota Semarang,Tidak,YA,33740300232,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/1447/2024,06 Desember 2023 s.d 06 Desember 2028 ,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
69,16-01-2021,1234866,Aktif,KLINIK UTAMA RAWAT INAP ESENSIA,JL. WOLTER MONGISNDI NO. 40 RT 01 RW 06 PEDURUNGAN TENGAH,Pedurungan Tengah,Pedurungan,Tlogosari Wetan,445.5/3/DPM-PTSP/IKSS.3/III/2020,31/03/2020,31/03/2025,"dr. Yanuar Ardani,SpPD",Non Kecantikan,Rawat Inap,Utama,Kota Semarang,JAWA TENGAH,,Tidak,YA,33740300069,Lembaga Akreditasi Fasilitas Kesehatan Primer (LAFKESPRI),PARIPURNA,YM.02.01/D/15762/2023, 23 November 2023 s.d 23 November 2028 ,2023,NOVEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
70,18-01-2021,1234600,Aktif,KLINIK UTAMA ERHA ULTIMATE,JL. MAYJEND SUTOYO NO. 37 TELP 0248447799,Pekunden,Semarang Tengah,Miroto,9.1201E+16,14/11/2023,14/11/2028,"dr. Lenna Christiana, SpKK",Kecantikan,Non Rawat Inap,Utama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,18-01-2021,1235101,Aktif,ERHA SKIN SETIABUDI,JL SETIABUDI NO 84 E RT 01 RW 03 KELURAHAN SUMURBOTO,Sumurboto,Banyumanik,Ngesrep,445.5/11/DPM-PTSP/IPMDS.11/III/2020,"Tuesday, November 3, 2020","Monday, November 3, 2025",dr.Pangesti Drawinawati,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,19-01-2021,1232098,Aktif,KLINIK PRATAMA PURI LARAS,JL. BRIGJEND KATAMSO 7 KELURAHAN KARANGTURI KECAMATAN SEMARANG TIMUR,Peterongan ,Semarang Selatan,Lamper Tengah,445.5/43/DPM-PTSP/IPMDS.43/IX/2020,"Wednesday, September 9, 2020","Tuesday, September 9, 2025",dr. Samuel Raditya Wibawa,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300072,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/17623/2023, 03 Desember 2023 s.d 03 Desember 2028 ,2023,DESEMBER,Mandiri,,,,,,,,,,,,,,,,,,
73,19-01-2021,1237697,Aktif,KLINIK HARAPAN PRIMA,"JL. PUSPOGIWANG I NO. 28B, GISIKDRONO, SEMARANG BARAT",Gisikdrono,Semarang Barat,Lebdosari,8.12022E+16,25/10/2022,25/10/2027,dr. Sri Musfaatun,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300073,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/11085/2023,23 September 2023 s.d 23 September 2028 ,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
74,19-01-2021,1236558,Aktif,KLINIK PRATAMA YAKES TELKOM,JL. SRIWIJAYA NO 2-3 SEMARANG,Tegalsari,Candisari,Kagok,445.5/20/DPM-PTSP/IPMDS.20/V/2019,"Thursday, September 5, 2019","Thursday, September 5, 2024",dr.Dian Ariani,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,YAYASAN KESEHATAN TELKOM,Ya,YA,33740300074,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/10173/2023, 07 September 2023 s.d 07 September 2028 ,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
75,19-01-2021,1236463,Aktif,KLINIK INSAN MEDIKA,"JL. BADAK RAYA NO. 45 KEL. PANDEAN LAMPER, KEC. GAYAMSARI",Pandean Lamper ,Gayamsari,Gayamsari,1.206E+16,27/10/2021,27/10/2026,dr. Nurhayati Suwignyo,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300075,Lembaga Akreditasi Independen Semar Bhakti Nusantara (LAI SBN),PARIPURNA,YM.02.01/D/10302/2023,08 September 2023 s.d 08 September 2028 ,2023,SEPTEMBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
76,19-01-2021,1233493,Aktif,HEALTH CLINIC,JL. GAJAH MADA NO.97 RUKO BLOK.3 SEMARANG,Miroto,Semarang Tengah,Miroto,445.5/17/DPM-PTSP/IPMDS.17/V/2021,"Friday, November 5, 2021","Thursday, November 5, 2026",dr. Mayang Setyaningsih,Non Kecantikan,Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,19-01-2021,1233492,Aktif,KLINIK SEHATI,"JL. CEMARA III NO.3 PADANGSARI, BANYUMANIK",Padangsari,Banyumanik,Srondol,445.5/6/DPM-PTSP/IPMDS.6/II/2021,30/11/2020,30/11/2025,dr. Suzanna Dewi Ratih,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300077,"Lembaga Akreditasi Puskesmas, Klinik, dan Laboratorium Indonesia (LAPKLIN)",PARIPURNA,YM.02.01/D/11405/2023,07 Oktober 2023 s.d 07 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
78,19-01-2021,1238474,Aktif,KLINIK ANGKASA MEDIKA,JL. ABDULRAHMAN SALEH RUKO NO. 122 D,Kalipancur,Ngaliyan,Purwoyoso,445.5/9/DPM-PTSP/IPMDS.9/II/2021,26/02/2021,26/02/2026,dr. Devi Anggraini Gani Asmara,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300078,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/345/2024,23 Desember 2023 s.d 23 Desember 2028 ,2023,DESEMBER,,,,,,,,,,,,,,,,,,,
79,19-01-2021,1237316,Aktif,KLINIK PRATAMA ARJUNA,JL.ARJUNA NO.44 PINDRIKAN KIDUL SEMARANG,Pendrikan Kidul,Semarang Tengah,Poncol,445.5/10/DPM-PTSP/IPMDS.10/III/2020,"Saturday, October 3, 2020","Friday, October 3, 2025",dr.Agustin Handayani,Non Kecantikan,Non Rawat Inap,Pratama,Kota Semarang,JAWA TENGAH,,Ya,YA,33740300079,Lembaga Akreditasi Fasyankes Seluruh Indonesia (LASKESI),PARIPURNA,YM.02.01/D/12113/2023,15 Oktober 2023 s.d 15 Oktober 2028,2023,OKTOBER,Mandiri,Sudah login,Sudah login,Sudah login,Sudah login,,,,,,,,,,,,,,
80,20-01-2021,1237957,Aktif,KLINIK UTAMA MEDIKTAMA,JL. KH AHMAD DAHLAN NO 9 RT 005 RW 001 KARANGKIDUL KOTA SEMARANG,,,,,,,,,Non Rawat Inap,Utama,Kota Semarang,JAWA TENGAH,,Tidak,,,,,,,,,,,,,,,,,,,,,,,,,,,
