No,EMAIL,TELEPON,KODE KLINIK,NAMA KLINIK,JENIS KLINIK,JENIS PELAYANAN,TANGGAL REGISTRASI,ALAMAT,CAMAT,KAB/KOTA,PROPINSI,PEMILIK,NAMA PEMILIK,PENYELENGGARA,PELAKU USAHA,KERJASAMA BPJS,BERJEJARING PUSKESMAS,PROGRAM PRIORITAS,NAMA PUSKESMAS,KODE BPJS,AKREDITASI
65,kmutiarabunda01@gmail.com,081332527527_,33740300065,Klinik Pratama Mutiara Bunda,Pratama,Non Rawat Inap,1/15/2021,Jl. Prof. Hamka No. 100A Kel. Tambakaji,NGALIYAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV MUTIARA BUNDA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,TAMBAK AJI,0173U436,Belum
66,estetikahrd@gmail.com,82136143596,33740300066,Klinik Spes. Kulit Estetika dr. Affandi Semarang,Utama,Non Rawat Inap,1/15/2021,jl. Kyai Saleh no. 9 Semarang,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. ESTETIKA MULIA ABADI,Masyarakat/Swasta,Perorangan,Tidak,Ya,,PANDANARAN,,Sudah
67,klinikpratamastelisabeth@yahoo.com,8112929212,33740300067,Klinik Pratama St. Elisabeth,Pratama,Non Rawat Inap,1/15/2021,"Jl. Cemara Raya no. 12, RT/RW 001/003, kelurahan Padangsari, kecamatan Banyumanik.",BANYUMANIK,Kota Semarang,Jawa Tengah,Yayasan,Yayasan Fransiskus Assisi,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,PADANGSARI,0173b083,Belum
68,klinikpratama.pmikotasmg@gmail.com,89682316298,33740300068,Klinik Pratama Pmi Kota Semarang,Pratama,Non Rawat Inap,1/15/2021,Jl Mgr Sugiyopranoto no 35,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"Dr. dr. H. Shofa Chasani, Sp. Fa. Sp. Pd. KGH. Fin",Kementerian/Lembaga,Badan Hukum,Tidak,Ya,"Hipertensi,Diabetes Melitus",PONCOL,,Belum
69,cs.esensia@gmail.com,024-76411636/67,33740300069,Klinik Utama Rawat Inap Esensia,Utama,Rawat Inap,1/16/2021,Jl. Wolter Mongisndi No. 40 RT 01 RW 06 Pedurungan Tengah,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT MUHANA SANO ESENSI,Kementerian/Lembaga,Perorangan,Tidak,Ya,,TELOGOSARI WETAN,,Sudah
70,erhaclinicsmg@gmail.com,82277776037,33740300070,Klinik Utama Erha Ultimate,Utama,Non Rawat Inap,1/18/2021,JL. MAYJEND SUTOYO NO. 37 TELP 0248447799,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT ERHA CLINIC INDONESIA,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,MIROTO,,Belum
71,erhasetiabudi@gmail.com,2476920507,33740300071,Erha Skin Setiabudi,Pratama,Non Rawat Inap,1/18/2021,Jl Setiabudi no 84 E RT 01 RW 03 Kelurahan Sumurboto,BANYUMANIK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT Erha Clinic Indonesia,Kementerian/Lembaga,Perorangan,Tidak,Tidak,,NGESREP,,Belum
72,klinikpurilaras@gmail.com,85725805491,33740300072,Klinik Pratama Puri Laras,Pratama,Non Rawat Inap,1/19/2021,Jl. Brigjend katamso 7 Kelurahan Karangturi Kecamatan Semarang Timur,SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. Puri Laras Sejahtera,Masyarakat/Swasta,Badan Hukum,Ya,Ya,,HALMAHERA,0173B093,Belum
73,kphprima0120@gmail.com,81225039442,33740300073,Klinik Harapan Prima,Pratama,Non Rawat Inap,1/19/2021,"Jl. Puspogiwang I No. 28b, Gisikdrono, Semarang Barat",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV dr. Any S. Medica,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",LEBDOSARI,0173U432,Belum
74,ratnajatiwalujo@gmail.com,081325753495_,33740300074,Klinik Pratama Yakes Telkom,Pratama,Non Rawat Inap,1/19/2021,jl. Sriwijaya no 2-3 semarang,CANDISARI,Kota Semarang,Jawa Tengah,Yayasan,YAYASAN KESEHATAN TELKOM,Kementerian/Lembaga,Perorangan,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",KAGOK,0173B018,Belum
75,klinikinmed@yahoo.co.id,081390465958_,33740300075,Klinik Insan Medika,Pratama,Non Rawat Inap,1/19/2021,"Jl. Badak Raya No. 45 Kel. Pandean Lamper, Kec. Gayamsari",GAYAMSARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. GAIA SEMARANG CANTIK,Kementerian/Lembaga,Perorangan,Ya,Ya,"Hipertensi,Diabetes Melitus",GAYAM SARI,,Belum
76,clinichealth4@gmail.com,024 8319111,33740300076,Health Clinic,Pratama,Rawat Inap,1/19/2021,Jl. Gajah Mada No.97 Ruko Blok.3 Semarang,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perorangan,David Hidayat,Kementerian/Lembaga,Perorangan,,,,Puskesmas Miroto Jl taman seteran Barat No 3 miroto Semarang tengah.,,
77,suzandewi04@gmail.com,082225584960_,33740300077,Klinik Sehati,Pratama,Non Rawat Inap,1/19/2021,"JL. CEMARA III NO.3 PADANGSARI, BANYUMANIK",BANYUMANIK,Kota Semarang,Jawa Tengah,Yayasan,SUTARDJO HENRIONO,Kementerian/Lembaga,Perorangan,Ya,Ya,,PADANGSARI,0173B057,Sudah
78,angkasa.medika@gmail.com,(024) 7607326,33740300078,Klinik Angkasa Medika,Pratama,Non Rawat Inap,1/19/2021,Jl. Abdulrahman Saleh Ruko No. 122 D,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Hariman Teguh Susetyo,Masyarakat/Swasta,Perorangan,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",LEBDOSARI,0173B051,Belum
79,klinikpratamaarjuna@yahoo.co.id,081321029834_,33740300079,Klinik Pratama Arjuna,Pratama,Non Rawat Inap,1/19/2021,Jl.arjuna no.44 pindrikan kidul semarang,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"DR. dr. Mochammad Abdul Hakam,Sp.PD",Masyarakat/Swasta,Perorangan,Ya,Ya,,PONCOL,0173b048,Belum
80,klinikutama.mediktama@gmail.com,081328087560_,33740300080,Klinik Utama Mediktama,Utama,Non Rawat Inap,1/20/2021,JL. KH AHMAD DAHLAN NO 9 RT 005 RW 001 KARANGKIDUL KOTA SEMARANG,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Ani Juwana,Masyarakat/Swasta,Perorangan,Tidak,Tidak,,MIROTO,,Sudah
81,is2003.anjasmoro@gmail.com,6.28217E+12,33740300081,Klinik Utama RAHB Indosehat 2003,Utama,Non Rawat Inap,1/20/2021,"JL. ANJASMORO RAYA 38 A / 7 , KELURAHAN KARANGAYU, KEC. SEMARANG BARAT, SEMARANG, JAWA TENGAH",SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT KLINIK INDOSEHAT 2003,Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,KARANG AYU,,Belum
82,siliwangismg@yahoo.com,081225664455_,33740300082,Klinik Utama Ultra Medica,Utama,Non Rawat Inap,1/20/2021,JL RONGGOLAWE NO 83 RT 06 RW 03 KARANGAYU SEMARANG BARAT SEMARANG,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT ULTRA MEDICA SEJAHTERA,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,KARANG AYU,,Belum
83,phcpedurungansemarang@gmail.com,8112880914,33740300083,Klinik Utama PHC Pedurungan,Utama,Non Rawat Inap,1/20/2021,"Jl. woltermonginsidi No.93 Rt.06 Rw.09, Kecamatan Pedurungan, Semarang 50193",PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT PELINDO HUSADA CITRA,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,TELOGOSARI WETAN,,Belum
84,klinikpratamacarakalima@gmail.com,82220273725,33740300084,Klinik Pratama Carakalima,Pratama,Non Rawat Inap,1/20/2021,"Metro Square Jl Imam Bonjol Blok B-7 No. 47-49 Purwosari, Semarang Utara. Kota Semarang.",SEMARANG UTARA,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Kopkar Carakalima ( Wismawati ),Masyarakat/Swasta,Badan Usaha,Ya,Ya,,BULU LOR,0173u429,Sudah
85,Klinikmedikautama29@gmail.com,8112778776,33740300085,KLINIK MEDIKA UTAMA,Pratama,Non Rawat Inap,1/21/2021,"Jl. Jangli Krajan 215 Jatingaleh, Candisari, Semarang",CANDISARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Mandiri Karya Utama,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",CANDILAMA,0173U443,Belum
86,klinikpermatasehat@gmail.com,82134189324,33740300086,Klinik Pratama Permata Sehat,Pratama,Non Rawat Inap,1/21/2021,Jl. BUKIT BARISAN C1 No. 11 PERMATA PURI BRINGIN NGALIYAN SEMARANG,NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Ir. Ronto Dumadi,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,NGALIYAN,0173B030,Sudah
87,dhidoctors@gmail.com,82133914858,33740300087,DHI Doctors Healthcare,Pratama,Non Rawat Inap,1/21/2021,Ruko Plaza Taman Niaga D-5 BSB Pesantren Mijen Semarang,MIJEN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV. DHI DOCTOR'S HEALTHCARE,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,"TB,Hipertensi,Diabetes Melitus",MIJEN,,Belum
88,kliniksitichabsah@yahoo.com,83842377915,33740300088,Klinik Pavilliun Siti Chabsah,Pratama,Non Rawat Inap,1/21/2021,"Jl. Zebra Raya RT/RW 05/04, Pedurungan, Pedurungan Kidul, Semarang",PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"dr. Hariyadi Wibowo, SH, MARS",Masyarakat/Swasta,Perorangan,Ya,Ya,,TELOGOSARI WETAN,0173B035,Sudah
89,ayem.klinikpratama@gmail.com,024 6718387,33740300089,ayem,Pratama,Non Rawat Inap,1/21/2021,"Jl. Taman Udan Riris 1 no 36, Tlogosari Kulon",PEDURUNGAN,Kota Semarang,Jawa Tengah,Kementerian/Lembaga,Yayasan ECCLESIA CHRISTI,Masyarakat/Swasta,Perorangan,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",TELOGOSARI KULON,0173b073,Belum
90,klinikkimiafarma_pemuda@yahoo.co.id,8112721580,33740300090,Klinik Kimia Farma Pemuda,Pratama,Non Rawat Inap,1/21/2021,"JL. PEMUDA 135, SEKAYU, SEMARANG TENGAH, SEMARANG",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT KIMIA FARMA DIAGNOSTIKA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",PONCOL,0173B011,Belum
91,agnesbudiarto@yahoo.com,8176616185,33740300091,Yehova Rapha 2,Pratama,Non Rawat Inap,1/21/2021,Jl. Tegalsari Raya No. 75,CANDISARI,Kota Semarang,Jawa Tengah,Yayasan,Indrawan Eleeas,Kementerian/Lembaga,Perorangan,Tidak,,,Kagok,,Belum
92,klinikkf.271@gmail.com,82210004262,33740300092,Klinik Pratama Kimia Farma dr. Atin,Pratama,Non Rawat Inap,1/21/2021,"JL. DR CIPTO NO 49 SARIREJO, SEMARANG TIMUR",SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT KIMIA FARMA DIAGNOSTIKA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,TB,HALMAHERA,0173B089,Belum
93,klinikkfsutomo@gmail.com,8122804262,33740300093,Klinik Pratama Kimia Farma dr. Elang,Pratama,Non Rawat Inap,1/21/2021,"JL. DR. SUTOMO NO 3, BARUSARI, SEMARANG SELATAN, KOTA SEMARANG",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT KIMIA FARMA DIAGNOSTIKA,Masyarakat/Swasta,Badan Hukum,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",PANDANARAN,0173B088,Belum
94,kfklinikngaliyan@gmail.com,85225192500,33740300094,Klinik Kimia Farma Ngaliyan,Pratama,Non Rawat Inap,1/21/2021,Jalan Raya Ngaliyan No.1B Kelurahan Tambakaji Kecamatan Ngaliyan Kota Semarang,NGALIYAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT Kimia Farma Diagnostika,Kementerian/Lembaga,Perorangan,Ya,Ya,,TAMBAK AJI,0173b087,Sudah
95,mahisimulya@gmail.com,2476719030,33740300095,Klinik Pratama Mahisi Mulya,Pratama,Non Rawat Inap,1/21/2021,"Ruko kampung semawis A-5, Kedungmundu, Tembalang, Semarang",TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV BIMA MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,KEDUNG MUNDU,0173u054,Sudah
96,kliniklanumad2020@gmail.com,85947423788,33740300096,Klinik Pratama Lanumad A. Yani,Pratama,Non Rawat Inap,1/21/2021,JL. PUAD AHMAD A YANI NO. 01,SEMARANG BARAT,Kota Semarang,Jawa Tengah,TNI,LANUMAD A. YANI,Kementerian/Lembaga,Perorangan,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",LEBDOSARI,1730806,Belum
97,retnodewisuselo@yahoo.com,08122851547__,33740300097,Klinik Anugerah,Pratama,Non Rawat Inap,1/22/2021,Jl. Graha Mukti Raya 1146,PEDURUNGAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,dr. Retno Dewi Suselo,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,TELOGOSARI KULON,,Sudah
98,baru16205@gmail.com,08122899771__,33740300098,Klinik Palma,Pratama,Non Rawat Inap,1/22/2021,JL. KALIGARANG NO. 27 SEMARANG,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"PT. Palma Nugraha Prima (Erwinanto, Dr)",Masyarakat/Swasta,Perorangan,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",PANDANARAN,0173B041,Sudah
99,permatasariyayasan@gmail.com,089671185571_,33740300099,Klinik Utama Permata Sari,Utama,Non Rawat Inap,1/22/2021,"Jl. Kol Warsito Soegiarto KM 1, Bukit Manyaran Permai",GUNUNGPATI,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"Yayasan Permata Sari (Dr. Ir. Endang Sri Sarastri,",Kementerian/Lembaga,Perorangan,Tidak,Tidak,,GUNUNGPATI,,Belum
100,kklinikpratamakaryosih@gmail.com,8122825465,33740300100,Klinik Pratama Karyo SIH,Pratama,Non Rawat Inap,1/22/2021,Jl.Mutiara III no 53 perum Intan Sambiroto,TEMBALANG,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,Rasmudjito,Masyarakat/Swasta,Perorangan,Tidak,Ya,,KEDUNG MUNDU,,Belum
101,klinikupgris@gmail.com,82136470023,33740300101,Klinik Pratama Universitas PGRI Semarang,Pratama,Non Rawat Inap,1/25/2021,JALAN SIDODADI TIMUR NO 24 KELURAHAN KARANGTEMPEL KECAMATAN SEMARANG TIMUR KOTA SEMARANG,SEMARANG TIMUR,Kota Semarang,Jawa Tengah,Yayasan,YAYASAN PEMBINA LPPT PGRI SEMARANG,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,HALMAHERA,,Belum
102,allaboutcareclinic@gmail.com,81910315322,33740300102,Klinik Pratama All About Care,Pratama,Non Rawat Inap,1/25/2021,Jl Madukoro Raya Ruko Bizpark Blok B16 Semarang,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perorangan,CV KLINIK VAKSIN INDONESIA,Masyarakat/Swasta,Badan Usaha,Tidak,Ya,,KROBOKAN,,Belum
103,deka.medika@yahoo.com,081393256456_,33740300103,Klinik Praatama 24 Jam Klinik Deka Medika,Pratama,Non Rawat Inap,1/27/2021,"Jl. Klipang Raya Ruko Klipang Golf View Kavling C.6 Sendangmulyo,Tembalang,Semarang",TEMBALANG,Kota Semarang,Jawa Tengah,Perorangan,dr. KURNIA INDAH KUSUMASTUTI,Masyarakat/Swasta,Perorangan,Tidak,Tidak,,KEDUNG MUNDU,,Belum
104,hrrep.smg@kmneyecare.com,85334466201,33740300104,Klinik Mata Nusantara,Utama,Non Rawat Inap,1/27/2021,JL. A . YANI NO.164 KARANG KIDUL SEMARANG,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. AUSTINDO NUSANTARA JAYA HEALTHCARE,Kementerian/Lembaga,Perorangan,Tidak,,,PUSKESMAS MIROTO SEMARANG,,Belum
105,klinikudinus@gmail.com,243558576,33740300105,Klinik Pratama Dian Nuswantoro,Pratama,Non Rawat Inap,2/10/2021,JL.NAKULA I NO 12,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Yayasan,YAYASAN DIAN NUSAWANTORO,Kementerian/Lembaga,Badan Hukum,Tidak,Ya,,PONCOL,,Belum
106,klinik.biddokkesjateng@gmail.com,08112999050__,33740300106,Klinik Pratama Biddokkes Polda Jateng,Pratama,Non Rawat Inap,3/2/2021,"Asrama Polisi Sendang Mulyo, Jalan Ketileng Raya, Kedungmundu, Tembalang, Sendangmulyo, Kec. Tembalang, Kota Semarang, Jawa Tengah 50272",TEMBALANG,Kota Semarang,Jawa Tengah,POLRI,BIDDOKKES POLDA JAWA TENGAH,POLRI,Badan Hukum Publik,Ya,Ya,"TB,Hipertensi,Diabetes Melitus",KEDUNG MUNDU,1730807,Belum
107,syariefahsoraya@yahoo.com,81575781892,33740300107,Klinik Mitra Umat,Pratama,Non Rawat Inap,3/24/2021,"JL. BULUSAN VI/34 RT 01 RW 05 KEC. TEMBALANG, KEL. BULUSAN, KOTA SEMARANG",TEMBALANG,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV MITRA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,"TB,Hipertensi,Diabetes Melitus,Lainnya",ROWOSARI,0173b058,Sudah
108,polkeskodam4dip@gmail.com,82322832512,33740300108,Klinik Pratama Kodam IV/Diponegoro,Pratama,Non Rawat Inap,4/19/2021,"Komp. Kodam IV/Diponegoro, Jl. Perintis Kemerdekaan Watugong Semarang",BANYUMANIK,Kota Semarang,Jawa Tengah,TNI,Kesdam IV/Diponegoro,TNI,Badan Hukum Publik,Ya,Ya,,PUNDAKPAYUNG,1730802,Sudah
109,klinikpratamayon15@gmail.com,85875201455,33740300109,Klinik Pratama Yonarhanud 15/Dby,Pratama,Non Rawat Inap,4/22/2021,Jl.Kesatrian Jatingaleh Candisari Semarang Jawa Tengah,CANDISARI,Kota Semarang,Jawa Tengah,TNI,KESDAM IV/DIPONEGORO,TNI,Badan Hukum Publik,Ya,Ya,,CANDILAMA,1730804,Sudah
110,nurhayatisp@ymail.com,085656251836_,33740300110,Klinik Pratama Shafira,Pratama,Non Rawat Inap,7/29/2021,Jl Pandansari 2 no 688 Semarang Tengah,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV HAYATI PRIMA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,PONCOL,0173B076,Sudah
111,klinik.setiabudismg@gmail.com,81806825125,33740300111,KLINIK PRATAMA SETIABUDI,Pratama,Non Rawat Inap,7/30/2021,Jl Ngesrep Timur V Dalam I No. 38 A RT 005 RW 01 Kelurahan Sumurboto Kecamatan Banyumanik,BANYUMANIK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV SETIA BUDI MEDIKA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,NGESREP,0173u441,Sudah
112,klinikpratamaafiat@gmail.com,024 6715493,33740300112,KLINIK PRATAMA AFIAT,Pratama,Non Rawat Inap,7/30/2021,JL. BRIGJEND SUDIARTO 449 SEMARANG,PEDURUNGAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,CV AFIAT SEJAHTERA,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,TELOGOSARI KULON,0173b077,Sudah
113,klinikpratamasu@yahoo.co.id,081326558137_,33740300113,KLINIK PRATAMA SEHAT UTAMA,Pratama,Non Rawat Inap,7/30/2021,Jl. Medoho Raya no. 21 Rt.05 Rw.07 Kel. Sambirejo,GAYAMSARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Martono,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,GAYAM SARI,0173B017,Sudah
114,candieyecenter@gmail.com,024-8501426,33740300114,Klinik Utama Mata Candi Eye Center,Utama,Non Rawat Inap,9/30/2021,dr. Wahidin FHG.2 Semarang 50254,CANDISARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT.Netra Mulia Sejahtera,Masyarakat/Swasta,Badan Usaha,Ya,Ya,,CANDILAMA,0173S003,Belum
115,Klinikdokterspesialis_mitrakita@yahoo.co.id,082136345034_,33740300115,Klinik Utama Mitrakita,Utama,Rawat Inap,10/12/2021,JL. PUSPANJOLO BARAT RAYA NO.45 BOJONGSALAMAN SEMARANG BARAT,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Dr. Priska Harsanti Devi,Masyarakat/Swasta,Perorangan,Tidak,Ya,,KARANG AYU,,Sudah
116,klinik.materdei@gmail.com,088220239785_,33740300116,Klinik Pratama Mater Deii,Pratama,Non Rawat Inap,10/15/2021,Jalan Lampersari No 73,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Yayasan,Yayasan Sosial Soegijapranata,Kementerian/Lembaga,Perorangan,Tidak,Ya,"Hipertensi,Diabetes Melitus",LAMPER TENGAH,,Belum
117,kgl.bmsjrakah@gmail.com,(024) 7615297,33740300117,Klinik Ginjal & Hipertensi Lestari - BMS Jrakah,Utama,Non Rawat Inap,11/10/2021,JL. Siliwangi No. 3 Jrakah Semarang,TUGU,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. LWB dan PT. BMS,Masyarakat/Swasta,Perorangan,Ya,Ya,,KARANG ANYAR,0173S002,Belum
118,kgl_adm@yahoo.com,6.28223E+12,33740300118,Klinik Ginjal Dan Hipertensi Lestari,Utama,Non Rawat Inap,11/17/2021,Klinik Ginjal Dan Hipertensi Lestari. Jalan Sompok Baru No. 76-78,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"Wahyudi Basuki,SH",Kementerian/Lembaga,Badan Hukum,Ya,Tidak,,LAMPER TENGAH,0173S001,Belum
119,lexa.setiabudi@gmail.com,08164889750__,33740300119,Lexa Skin Clinic,Utama,Non Rawat Inap,11/23/2021,Jl SETIABUDI 257 BANYUMANIK SEMARANG,BANYUMANIK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Ir LINARIAH SETIAWAN S,Kementerian/Lembaga,Perorangan,Tidak,Tidak,,SRONDOL,,Sudah
120,klinikmatapapandayan@gmail.com,081227942222_,33740300120,Klinik Mata Papandayan,Utama,Non Rawat Inap,11/23/2021,JL. PAPANDAYAN NO.1 (SAMPANGAN),GAJAHMUNGKUR,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"DR. H. HARKA PRASETYA, SP.M(K)",Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,PEGANDAN,,Sudah
121,klinikitasingosari@hotmail.com,811278256,33740300121,Klinik Utama Klinikita TK Singosari,Utama,Non Rawat Inap,11/23/2021,"Jl Singosari II No. 5 Semarang Selatan, Kota Semarang",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. Dokter Moez Indonesia,Kementerian/Lembaga,Perorangan,Tidak,Ya,TB,PANDANARAN,,Belum
122,ibl_klinik@yahoo.com,0811275579___,33740300122,Klinik Utama Imam Bonjol (Ibl),Utama,Non Rawat Inap,11/23/2021,Jl. Imam Bonjol No. 173 Pendrikan Kidul Semarang,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT IBL Prioritas DIagnostika,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,PONCOL,,Belum
123,medpermata@gmail.com,81392241658,33740300123,Klinik Utama Permata,Utama,Non Rawat Inap,11/24/2021,"JL. MAYJEND SUTOYO S NO. 962 A, SEMARANG",SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Yayasan,YAYASAN MEDITAMA PERMATA,Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,MIROTO,,Sudah
124,praktekerlg@gmail.com,85712447278,33740300124,Klinik Utama Erlangga,Utama,Non Rawat Inap,11/24/2021,"Jl. Erlangga Raya No. 39 RT 4 RW 4, Pleburan, Semarang Selatan",SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,"dr. Eka Chandra Herlina, M.Rep.Sc, Sp.OG",Masyarakat/Swasta,Perorangan,Tidak,Ya,,PANDANARAN,,Belum
125,nadira.mt.haryono@gmail.com,8.9541E+11,33740300125,Klinik Gigi Nadira MT. Haryono,Utama,Non Rawat Inap,11/25/2021,JL. MT. Haryono No 693 Semarang,SEMARANG SELATAN,Kota Semarang,Jawa Tengah,Masyarakat/Swasta,PT NADIRA RADIFA MANDIRI,Kementerian/Lembaga,Perorangan,Tidak,Tidak,,PANDANARAN,,Belum
126,nadira.tusam@gmail.com,6.28573E+12,33740300126,Klinik Gigi Nadira Tusam,Utama,Non Rawat Inap,11/25/2021,Jl. Tusam Timur No 34 Pedalangan Banyumanik Semarang,BANYUMANIK,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,"Budi Ponco Prakoso, ST, MM",Masyarakat/Swasta,Badan Hukum,Tidak,Tidak,,PADANGSARI,,Belum
127,centrumsmg@yahoo.com,247614767,33740300127,Klinik Utama Centrum,Utama,Non Rawat Inap,11/26/2021,JL. PUSPONJOLO BARAT NO. 14 RT. 07 RW.01 KEL. CABEAN KEC. SEMARANG BARAT SEMARANG,SEMARANG BARAT,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,PT. CENTRUM SABDA HUSADA,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,KARANG AYU,1734387,Belum
128,restiti.hidayat@gmail.com,811273316,33740300128,KLINIK PRATAMA PANDU SEHAT,Pratama,Non Rawat Inap,11/27/2021,Jl. Cinde Selatan 29 RT 8 RW 8 Jomblang Candisari Semarang,CANDISARI,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,CV. Mitra Hidayat Sejahtera,Masyarakat/Swasta,Badan Hukum,Tidak,Ya,,CANDILAMA,,Sudah
129,drdiahadriani@yahoo.com,024-8415448,33740300129,Gracia Skin Clinic,Utama,Non Rawat Inap,12/1/2021,JL. PANDANARAN I NO. 29 A SEMARANG,SEMARANG TENGAH,Kota Semarang,Jawa Tengah,Perusahaan/Badan hukum,Ir. Linariah Setiawan,Masyarakat/Swasta,Badan Usaha,Tidak,Tidak,,MIROTO,,Sudah
